QA output created by 064

=== pcp-pidstat with -f formatting of the timestamps
Linux  4.4.0-31-generic  (ram-Lenovo)  08/05/16  x86_64    (4 CPU)
Timestamp                 UID	PID	usr	system	guest	%CPU	CPU	Command
Fri Aug  5 07:35:06 2016  0	1	?	?	?	?	0	systemd
Fri Aug  5 07:35:06 2016  0	2	?	?	?	?	3	kthreadd
Fri Aug  5 07:35:06 2016  0	3	?	?	?	?	0	ksoftirqd/0
Fri Aug  5 07:35:06 2016  0	5	?	?	?	?	0	kworker/0:0H
Fri Aug  5 07:35:06 2016  0	7	?	?	?	?	0	rcu_sched
Fri Aug  5 07:35:06 2016  0	8	?	?	?	?	0	rcu_bh
Fri Aug  5 07:35:06 2016  0	9	?	?	?	?	0	migration/0
Fri Aug  5 07:35:06 2016  0	10	?	?	?	?	0	watchdog/0
Fri Aug  5 07:35:06 2016  0	11	?	?	?	?	1	watchdog/1
Fri Aug  5 07:35:06 2016  0	12	?	?	?	?	1	migration/1
Fri Aug  5 07:35:06 2016  0	13	?	?	?	?	1	ksoftirqd/1
Fri Aug  5 07:35:06 2016  0	14	?	?	?	?	1	kworker/1:0
Fri Aug  5 07:35:06 2016  0	15	?	?	?	?	1	kworker/1:0H
Fri Aug  5 07:35:06 2016  0	16	?	?	?	?	2	watchdog/2
Fri Aug  5 07:35:06 2016  0	17	?	?	?	?	2	migration/2
Fri Aug  5 07:35:06 2016  0	18	?	?	?	?	2	ksoftirqd/2
Fri Aug  5 07:35:06 2016  0	20	?	?	?	?	2	kworker/2:0H
Fri Aug  5 07:35:06 2016  0	21	?	?	?	?	3	watchdog/3
Fri Aug  5 07:35:06 2016  0	22	?	?	?	?	3	migration/3
Fri Aug  5 07:35:06 2016  0	23	?	?	?	?	3	ksoftirqd/3
Fri Aug  5 07:35:06 2016  0	24	?	?	?	?	3	kworker/3:0
Fri Aug  5 07:35:06 2016  0	25	?	?	?	?	3	kworker/3:0H
Fri Aug  5 07:35:06 2016  0	26	?	?	?	?	0	kdevtmpfs
Fri Aug  5 07:35:06 2016  0	27	?	?	?	?	1	netns
Fri Aug  5 07:35:06 2016  0	28	?	?	?	?	1	perf
Fri Aug  5 07:35:06 2016  0	29	?	?	?	?	1	khungtaskd
Fri Aug  5 07:35:06 2016  0	30	?	?	?	?	1	writeback
Fri Aug  5 07:35:06 2016  0	31	?	?	?	?	1	ksmd
Fri Aug  5 07:35:06 2016  0	32	?	?	?	?	3	khugepaged
Fri Aug  5 07:35:06 2016  0	33	?	?	?	?	2	crypto
Fri Aug  5 07:35:06 2016  0	34	?	?	?	?	2	kintegrityd
Fri Aug  5 07:35:06 2016  0	35	?	?	?	?	2	bioset
Fri Aug  5 07:35:06 2016  0	36	?	?	?	?	2	kblockd
Fri Aug  5 07:35:06 2016  0	37	?	?	?	?	2	ata_sff
Fri Aug  5 07:35:06 2016  0	38	?	?	?	?	2	md
Fri Aug  5 07:35:06 2016  0	39	?	?	?	?	3	devfreq_wq
Fri Aug  5 07:35:06 2016  0	45	?	?	?	?	2	kswapd0
Fri Aug  5 07:35:06 2016  0	46	?	?	?	?	3	vmstat
Fri Aug  5 07:35:06 2016  0	47	?	?	?	?	2	fsnotify_mark
Fri Aug  5 07:35:06 2016  0	48	?	?	?	?	3	ecryptfs-kthrea
Fri Aug  5 07:35:06 2016  0	64	?	?	?	?	3	kthrotld
Fri Aug  5 07:35:06 2016  0	65	?	?	?	?	3	acpi_thermal_pm
Fri Aug  5 07:35:06 2016  0	66	?	?	?	?	1	kworker/u16:2
Fri Aug  5 07:35:06 2016  0	68	?	?	?	?	0	bioset
Fri Aug  5 07:35:06 2016  0	69	?	?	?	?	0	bioset
Fri Aug  5 07:35:06 2016  0	70	?	?	?	?	0	bioset
Fri Aug  5 07:35:06 2016  0	71	?	?	?	?	1	bioset
Fri Aug  5 07:35:06 2016  0	72	?	?	?	?	1	bioset
Fri Aug  5 07:35:06 2016  0	73	?	?	?	?	2	bioset
Fri Aug  5 07:35:06 2016  0	74	?	?	?	?	2	bioset
Fri Aug  5 07:35:06 2016  0	75	?	?	?	?	2	bioset
Fri Aug  5 07:35:06 2016  0	76	?	?	?	?	2	bioset
Fri Aug  5 07:35:06 2016  0	77	?	?	?	?	2	bioset
Fri Aug  5 07:35:06 2016  0	78	?	?	?	?	2	bioset
Fri Aug  5 07:35:06 2016  0	79	?	?	?	?	2	bioset
Fri Aug  5 07:35:06 2016  0	80	?	?	?	?	2	bioset
