QA output created by 1078

=== pcp-pidstat without filters
Linux  4.4.0-31-generic  (ram-Lenovo)  08/05/16  x86_64    (4 CPU)
Timestamp        UID	PID	usr	system	guest	%CPU	CPU	Command
07:35:06         0	1	?	?	?	?	0	systemd
07:35:06         0	2	?	?	?	?	3	kthreadd
07:35:06         0	3	?	?	?	?	0	ksoftirqd/0
07:35:06         0	5	?	?	?	?	0	kworker/0:0H
07:35:06         0	7	?	?	?	?	0	rcu_sched
07:35:06         0	8	?	?	?	?	0	rcu_bh
07:35:06         0	9	?	?	?	?	0	migration/0
07:35:06         0	10	?	?	?	?	0	watchdog/0
07:35:06         0	11	?	?	?	?	1	watchdog/1
07:35:06         0	12	?	?	?	?	1	migration/1
07:35:06         0	13	?	?	?	?	1	ksoftirqd/1
07:35:06         0	14	?	?	?	?	1	kworker/1:0
07:35:06         0	15	?	?	?	?	1	kworker/1:0H
07:35:06         0	16	?	?	?	?	2	watchdog/2
07:35:06         0	17	?	?	?	?	2	migration/2
07:35:06         0	18	?	?	?	?	2	ksoftirqd/2
07:35:06         0	20	?	?	?	?	2	kworker/2:0H
07:35:06         0	21	?	?	?	?	3	watchdog/3
07:35:06         0	22	?	?	?	?	3	migration/3
07:35:06         0	23	?	?	?	?	3	ksoftirqd/3
07:35:06         0	24	?	?	?	?	3	kworker/3:0
07:35:06         0	25	?	?	?	?	3	kworker/3:0H
07:35:06         0	26	?	?	?	?	0	kdevtmpfs
07:35:06         0	27	?	?	?	?	1	netns
07:35:06         0	28	?	?	?	?	1	perf
07:35:06         0	29	?	?	?	?	1	khungtaskd
07:35:06         0	30	?	?	?	?	1	writeback
07:35:06         0	31	?	?	?	?	1	ksmd
07:35:06         0	32	?	?	?	?	3	khugepaged
07:35:06         0	33	?	?	?	?	2	crypto
07:35:06         0	34	?	?	?	?	2	kintegrityd
07:35:06         0	35	?	?	?	?	2	bioset
07:35:06         0	36	?	?	?	?	2	kblockd
07:35:06         0	37	?	?	?	?	2	ata_sff
07:35:06         0	38	?	?	?	?	2	md
07:35:06         0	39	?	?	?	?	3	devfreq_wq
07:35:06         0	45	?	?	?	?	2	kswapd0
07:35:06         0	46	?	?	?	?	3	vmstat
07:35:06         0	47	?	?	?	?	2	fsnotify_mark
07:35:06         0	48	?	?	?	?	3	ecryptfs-kthrea
07:35:06         0	64	?	?	?	?	3	kthrotld
07:35:06         0	65	?	?	?	?	3	acpi_thermal_pm
07:35:06         0	66	?	?	?	?	1	kworker/u16:2
07:35:06         0	68	?	?	?	?	0	bioset
07:35:06         0	69	?	?	?	?	0	bioset
07:35:06         0	70	?	?	?	?	0	bioset
07:35:06         0	71	?	?	?	?	1	bioset
07:35:06         0	72	?	?	?	?	1	bioset
07:35:06         0	73	?	?	?	?	2	bioset
07:35:06         0	74	?	?	?	?	2	bioset
07:35:06         0	75	?	?	?	?	2	bioset
07:35:06         0	76	?	?	?	?	2	bioset
07:35:06         0	77	?	?	?	?	2	bioset
07:35:06         0	78	?	?	?	?	2	bioset
07:35:06         0	79	?	?	?	?	2	bioset
07:35:06         0	80	?	?	?	?	2	bioset
07:35:06         0	81	?	?	?	?	2	bioset
07:35:06         0	82	?	?	?	?	2	bioset
07:35:06         0	83	?	?	?	?	2	bioset
07:35:06         0	84	?	?	?	?	2	bioset
07:35:06         0	85	?	?	?	?	2	bioset
07:35:06         0	86	?	?	?	?	2	bioset
07:35:06         0	87	?	?	?	?	2	bioset
07:35:06         0	88	?	?	?	?	2	bioset
07:35:06         0	89	?	?	?	?	2	bioset
07:35:06         0	90	?	?	?	?	2	bioset
07:35:06         0	91	?	?	?	?	2	bioset
07:35:06         0	96	?	?	?	?	2	ipv6_addrconf
07:35:06         0	109	?	?	?	?	2	deferwq
07:35:06         0	110	?	?	?	?	2	charger_manager
07:35:06         0	153	?	?	?	?	0	kpsmoused
07:35:06         0	154	?	?	?	?	1	scsi_eh_0
07:35:06         0	155	?	?	?	?	1	scsi_tmf_0
07:35:06         0	156	?	?	?	?	1	scsi_eh_1
07:35:06         0	157	?	?	?	?	1	scsi_tmf_1
07:35:06         0	158	?	?	?	?	1	scsi_eh_2
07:35:06         0	159	?	?	?	?	1	scsi_tmf_2
07:35:06         0	160	?	?	?	?	1	scsi_eh_3
07:35:06         0	161	?	?	?	?	1	scsi_tmf_3
07:35:06         0	162	?	?	?	?	2	scsi_eh_4
07:35:06         0	163	?	?	?	?	1	scsi_tmf_4
07:35:06         0	164	?	?	?	?	1	scsi_eh_5
07:35:06         0	165	?	?	?	?	1	scsi_tmf_5
07:35:06         0	166	?	?	?	?	0	kworker/u16:3
07:35:06         0	169	?	?	?	?	2	kfd_process_wq
07:35:06         0	172	?	?	?	?	1	ttm_swap
07:35:06         0	173	?	?	?	?	2	kworker/2:2
07:35:06         0	174	?	?	?	?	0	bioset
07:35:06         0	175	?	?	?	?	0	kworker/u16:5
07:35:06         0	176	?	?	?	?	3	bioset
07:35:06         0	250	?	?	?	?	1	raid5wq
07:35:06         0	280	?	?	?	?	0	bioset
07:35:06         0	306	?	?	?	?	1	kworker/1:1H
07:35:06         0	308	?	?	?	?	3	jbd2/sda8-8
07:35:06         0	309	?	?	?	?	0	ext4-rsv-conver
07:35:06         0	356	?	?	?	?	1	kauditd
07:35:06         0	367	?	?	?	?	3	systemd-journal
07:35:06         0	385	?	?	?	?	3	lvmetad
07:35:06         0	398	?	?	?	?	0	systemd-udevd
07:35:06         0	413	?	?	?	?	2	kworker/2:1H
07:35:06         0	463	?	?	?	?	0	irq/29-mei_me
07:35:06         0	464	?	?	?	?	3	edac-poller
07:35:06         0	482	?	?	?	?	0	kworker/0:1H
07:35:06         0	484	?	?	?	?	3	kworker/3:1H
07:35:06         0	577	?	?	?	?	3	cfg80211
07:35:06         0	631	?	?	?	?	0	wl_event_handle
07:35:06         0	636	?	?	?	?	1	kvm-irqfd-clean
07:35:06         0	667	?	?	?	?	1	kmemstick
07:35:06         0	668	?	?	?	?	3	rtsx_usb_ms_1
07:35:06         0	682	?	?	?	?	0	jbd2/sda10-8
07:35:06         0	683	?	?	?	?	2	ext4-rsv-conver
07:35:06         0	687	?	?	?	?	1	jbd2/sda9-8
07:35:06         0	688	?	?	?	?	0	ext4-rsv-conver
07:35:06         100	829	?	?	?	?	3	systemd-timesyn
07:35:06         0	905	?	?	?	?	0	cron
07:35:06         111	909	?	?	?	?	0	avahi-daemon
07:35:06         109	913	?	?	?	?	2	whoopsie
07:35:06         0	917	?	?	?	?	2	systemd-logind
07:35:06         0	921	?	?	?	?	2	accounts-daemon
07:35:06         106	923	?	?	?	?	1	dbus-daemon
07:35:06         111	937	?	?	?	?	1	avahi-daemon
07:35:06         0	942	?	?	?	?	0	atd
07:35:06         0	945	?	?	?	?	3	NetworkManager
