QA output created by 1242
Running pmlogextract archives/multi-xz/20150508.11.44 archives/multi-xz/20150508.11.46 archives/multi-xz/20150508.11.50 archives/multi-xz/20150508.11.57 TMP.44+46+50+57.pmlogextract
Running pmrep -a TMP.44+46+50+57.pmlogextract
  n.i.i.bytes  n.i.i.bytes  n.i.i.bytes  n.i.i.bytes  n.i.i.bytes
       wlp3s0           lo          em1       virbr0         tun0
       byte/s       byte/s       byte/s       byte/s       byte/s
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       36.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       36.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       36.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       36.000
     2003.000        0.000        0.000        0.000       37.000
     2004.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       36.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       36.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       36.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       36.000
     2003.000        0.000        0.000        0.000       37.000
     2003.000        0.000        0.000        0.000       37.000
