QA output created by 1398

pcp-pidstat output: set reporting timezone to one for your choice
Linux  3.10.0-693.el7.x86_64  (localhost.localdomain)  06/20/18  x86_64    (4 CPU)
Timestamp        UID	PID	usr	system	guest	%CPU	CPU	Command
09:47:41         0	1	?	?	?	?	0	systemd
09:47:41         0	2	?	?	?	?	3	kthreadd
09:47:41         0	3	?	?	?	?	0	ksoftirqd/0
09:47:41         0	4	?	?	?	?	0	kworker/0:0
09:47:41         0	5	?	?	?	?	0	kworker/0:0H
09:47:41         0	6	?	?	?	?	3	kworker/u8:0
09:47:41         0	7	?	?	?	?	0	migration/0
09:47:41         0	8	?	?	?	?	0	rcu_bh
09:47:41         0	9	?	?	?	?	1	rcu_sched
09:47:41         0	10	?	?	?	?	0	watchdog/0
09:47:41         0	11	?	?	?	?	1	watchdog/1
09:47:41         0	12	?	?	?	?	1	migration/1
09:47:41         0	13	?	?	?	?	1	ksoftirqd/1
09:47:41         0	14	?	?	?	?	1	kworker/1:0
09:47:41         0	15	?	?	?	?	1	kworker/1:0H
09:47:41         0	16	?	?	?	?	2	watchdog/2
09:47:41         0	17	?	?	?	?	2	migration/2
09:47:41         0	18	?	?	?	?	2	ksoftirqd/2
09:47:41         0	19	?	?	?	?	2	kworker/2:0
09:47:41         0	20	?	?	?	?	2	kworker/2:0H
09:47:41         0	21	?	?	?	?	3	watchdog/3
09:47:41         0	22	?	?	?	?	3	migration/3
09:47:41         0	23	?	?	?	?	3	ksoftirqd/3
09:47:41         0	24	?	?	?	?	3	kworker/3:0
09:47:41         0	25	?	?	?	?	3	kworker/3:0H
09:47:41         0	27	?	?	?	?	2	kdevtmpfs
09:47:41         0	28	?	?	?	?	1	netns
09:47:41         0	29	?	?	?	?	1	khungtaskd
09:47:41         0	30	?	?	?	?	0	writeback
09:47:41         0	31	?	?	?	?	1	kintegrityd
09:47:41         0	32	?	?	?	?	1	bioset
09:47:41         0	33	?	?	?	?	1	kblockd
09:47:41         0	34	?	?	?	?	1	md
09:47:41         0	35	?	?	?	?	0	kworker/0:1
09:47:41         0	40	?	?	?	?	1	kswapd0
09:47:41         0	41	?	?	?	?	3	ksmd
09:47:41         0	42	?	?	?	?	1	khugepaged
09:47:41         0	43	?	?	?	?	1	crypto
09:47:41         0	51	?	?	?	?	1	kthrotld
09:47:41         0	52	?	?	?	?	1	kworker/u8:1
09:47:41         0	53	?	?	?	?	1	kmpath_rdacd
09:47:41         0	54	?	?	?	?	0	kworker/0:2
09:47:41         0	55	?	?	?	?	2	kpsmoused
09:47:41         0	56	?	?	?	?	2	ipv6_addrconf
09:47:41         0	57	?	?	?	?	1	kworker/1:1
09:47:41         0	58	?	?	?	?	0	kworker/0:3
09:47:41         0	77	?	?	?	?	2	deferwq
09:47:41         0	78	?	?	?	?	2	kworker/2:1
09:47:41         0	108	?	?	?	?	3	kworker/3:1
09:47:41         0	111	?	?	?	?	3	kauditd
09:47:41         0	296	?	?	?	?	2	ata_sff
09:47:41         0	305	?	?	?	?	0	scsi_eh_0
09:47:41         0	306	?	?	?	?	2	scsi_tmf_0
09:47:41         0	307	?	?	?	?	2	scsi_eh_1
09:47:41         0	308	?	?	?	?	2	scsi_tmf_1
09:47:41         0	309	?	?	?	?	1	kworker/u8:2
09:47:41         0	310	?	?	?	?	2	kworker/u8:3
09:47:41         0	311	?	?	?	?	3	ttm_swap
09:47:41         0	323	?	?	?	?	0	kworker/0:1H
09:47:41         0	324	?	?	?	?	3	kworker/3:2
09:47:41         0	327	?	?	?	?	2	kworker/2:1H
09:47:41         0	328	?	?	?	?	1	kworker/1:1H
09:47:41         0	329	?	?	?	?	1	kworker/1:2
09:47:41         0	331	?	?	?	?	3	kworker/3:1H
09:47:41         0	391	?	?	?	?	1	kdmflush
09:47:41         0	392	?	?	?	?	0	bioset
09:47:41         0	401	?	?	?	?	1	kdmflush
09:47:41         0	402	?	?	?	?	0	bioset
09:47:41         0	417	?	?	?	?	2	bioset
09:47:41         0	418	?	?	?	?	1	xfsalloc
09:47:41         0	419	?	?	?	?	3	xfs_mru_cache
09:47:41         0	420	?	?	?	?	0	xfs-buf/dm-0
09:47:41         0	421	?	?	?	?	0	xfs-data/dm-0
09:47:41         0	422	?	?	?	?	0	xfs-conv/dm-0
09:47:41         0	423	?	?	?	?	0	xfs-cil/dm-0
09:47:41         0	424	?	?	?	?	0	xfs-reclaim/dm-
09:47:41         0	425	?	?	?	?	0	xfs-log/dm-0
09:47:41         0	426	?	?	?	?	0	xfs-eofblocks/d
09:47:41         0	427	?	?	?	?	0	xfsaild/dm-0
09:47:41         0	499	?	?	?	?	2	systemd-journal
09:47:41         0	522	?	?	?	?	0	rpciod
