QA output created by 936

pcp-tapestat output: ctime prefix, precision 2
# Timestamp              Device           r/s     w/s  kb_r/s  kb_w/s   r_pct   w_pct   o_pct    Rs/s   o_cnt
Wed Feb 22 00:45:50 2017 NODATA             ?       ?       ?       ?       ?       ?       ?       ?       ?
Wed Feb 22 00:46:00 2017 st0             0.00  278.70       0    2853    0.00    7.78    8.89    0.00    0.00
Wed Feb 22 00:46:10 2017 st0             0.00  278.60       0    2853    0.00    7.78    8.89    0.00    0.00
Wed Feb 22 00:46:20 2017 st0             0.00  278.70       0    2853    0.00    7.78    8.89    0.00    0.00
Wed Feb 22 00:46:30 2017 st0             0.00  278.60       0    2853    0.00    7.78    8.89    0.00    0.00
Wed Feb 22 00:46:40 2017 st0             0.00  278.70       0    2853    0.00    7.78    8.89    0.00    0.00
Wed Feb 22 00:46:50 2017 st0           277.80    0.70    2845       7    6.20    0.02   21.64    0.00    0.00
Wed Feb 22 00:47:00 2017 st0           278.60    0.00    2852       0    6.22    0.00   21.67    0.00    0.00
Wed Feb 22 00:47:10 2017 st0           278.60    0.00    2852       0    6.22    0.00   21.67    0.00    0.00
Wed Feb 22 00:47:20 2017 st0           278.50    0.00    2852       0    6.22    0.00   21.67    0.00    0.00
Wed Feb 22 00:47:30 2017 st0           278.60    0.00    2852       0    6.22    0.00   21.67    0.00    0.00
Wed Feb 22 00:47:40 2017 st0           278.50    0.00    2852       0    6.22    0.00   21.67    0.00    0.00
Wed Feb 22 00:47:50 2017 st0             0.70    0.00       7       0    0.02    0.00    0.05    0.00    0.00
Wed Feb 22 00:48:00 2017 st0             0.00    0.00       0       0    0.00    0.00    0.00    0.00    0.00
Wed Feb 22 00:48:10 2017 st0             0.00    0.00       0       0    0.00    0.00    0.00    0.00    0.00
Wed Feb 22 00:48:20 2017 st0             0.00    0.00       0       0    0.00    0.00    0.00    0.00    0.00
Wed Feb 22 00:48:30 2017 st0             0.00    0.00       0       0    0.00    0.00    0.00    0.00    0.00
Wed Feb 22 00:48:40 2017 st0             0.00    0.00       0       0    0.00    0.00    0.00    0.00    0.00

pcp-tapestat output: no headers, no idle, precision 5
st0             0.00000  278.70000          0       2853    0.00000    7.77587    8.89069    0.00000    0.00020
st0             0.00000  278.60000          0       2853    0.00000    7.77587    8.89069    0.00000    0.00010
st0             0.00000  278.70000          0       2853    0.00000    7.77587    8.89069    0.00000    0.00020
st0             0.00000  278.60000          0       2853    0.00000    7.77587    8.89069    0.00000    0.00010
st0             0.00000  278.70000          0       2853    0.00000    7.77587    8.89069    0.00000    0.00020
st0           277.80000    0.70000       2845          7    6.20049    0.01999   21.64027    0.00000    0.00020
st0           278.60000    0.00000       2852          0    6.21647    0.00000   21.67313    0.00000    0.00010
st0           278.60000    0.00000       2852          0    6.21647    0.00000   21.67313    0.00000    0.00020
st0           278.50000    0.00000       2852          0    6.21647    0.00000   21.67313    0.00000    0.00020
st0           278.60000    0.00000       2852          0    6.21647    0.00000   21.67313    0.00000    0.00010
st0           278.50000    0.00000       2852          0    6.21647    0.00000   21.67313    0.00000    0.00020
st0             0.70000    0.00000          7          0    0.01526    0.00000    0.05319    0.00000    0.00000

pcp-tapestat output: no extended options, precision 0
# Device        r/s    w/s kb_r/s kb_w/s  r_pct  w_pct  o_pct   Rs/s  o_cnt
st0               0    279      0   2853      0      8      9      0      0
st0               0    279      0   2853      0      8      9      0      0
st0               0    279      0   2853      0      8      9      0      0
st0               0    279      0   2853      0      8      9      0      0
st0               0    279      0   2853      0      8      9      0      0
st0             278      1   2845      7      6      0     22      0      0
st0             279      0   2852      0      6      0     22      0      0
st0             279      0   2852      0      6      0     22      0      0
st0             278      0   2852      0      6      0     22      0      0
st0             279      0   2852      0      6      0     22      0      0
st0             278      0   2852      0      6      0     22      0      0
st0               1      0      7      0      0      0      0      0      0
st0               0      0      0      0      0      0      0      0      0
st0               0      0      0      0      0      0      0      0      0
st0               0      0      0      0      0      0      0      0      0
st0               0      0      0      0      0      0      0      0      0
st0               0      0      0      0      0      0      0      0      0
