Netid State  Recv-Q Send-Q            Local Address:Port     Peer Address:Port  Process                                                                         
udp UNCONN  0       0                       0.0.0.0:5353          0.0.0.0:*      uid:117 ino:177686 sk:9 <-> skmem:(r0,rb212992,t0,tb212992,f4096,w0,o144,bl0,d0)
udp UNCONN  0       0                       0.0.0.0:38162         0.0.0.0:*      uid:117 ino:177688 sk:a <-> skmem:(r0,rb212992,t0,tb212992,f0,w0,o0,bl0,d0)    
udp UNCONN  0       0                 192.168.123.1:53            0.0.0.0:*      ino:187421 sk:b <-> skmem:(r0,rb212992,t0,tb212992,f0,w0,o0,bl0,d0)            
udp UNCONN  0       0                 127.0.0.53%lo:53            0.0.0.0:*      uid:101 ino:181925 sk:c <-> skmem:(r0,rb212992,t0,tb212992,f4096,w0,o0,bl0,d0) 
udp UNCONN  0       0                     127.0.0.1:53            0.0.0.0:*      ino:179211 sk:d <-> skmem:(r0,rb212992,t0,tb212992,f0,w0,o0,bl0,d0)            
udp UNCONN  0       0                0.0.0.0%virbr0:67            0.0.0.0:*      ino:187418 sk:e <-> skmem:(r0,rb212992,t0,tb212992,f0,w0,o0,bl0,d0)            
udp UNCONN  0       0        192.168.122.245%enp1s0:68            0.0.0.0:*      uid:100 ino:1451384 sk:22 <-> skmem:(r0,rb212992,t0,tb212992,f0,w0,o0,bl0,d0)  
udp UNCONN  0       0                          [::]:41634            [::]:*      uid:117 ino:177689 sk:10 v6only:1 <-> skmem:(r0,rb212992,t0,tb212992,f0,w0,o0,bl0,d0)
udp UNCONN  0       0                          [::]:5353             [::]:*      uid:117 ino:177687 sk:11 v6only:1 <-> skmem:(r0,rb212992,t0,tb212992,f4096,w0,o128,bl0,d0)
udp UNCONN  0       0                         [::1]:53               [::]:*      ino:179209 sk:12 v6only:1 <-> skmem:(r0,rb212992,t0,tb212992,f0,w0,o0,bl0,d0)  
tcp LISTEN  0       128                     0.0.0.0:22            0.0.0.0:*      ino:29633 sk:3 <-> skmem:(r0,rb131072,t0,tb16384,f0,w0,o0,bl0,d0) cubic cwnd:10
tcp LISTEN  0       4096                  127.0.0.1:38971         0.0.0.0:*      ino:168902 sk:13 <-> skmem:(r0,rb131072,t0,tb16384,f0,w0,o0,bl0,d0) cubic cwnd:10
tcp LISTEN  0       5                       0.0.0.0:44321         0.0.0.0:*      ino:1466488 sk:23 <-> skmem:(r0,rb131072,t0,tb16384,f0,w0,o0,bl0,d0) cubic cwnd:10
tcp LISTEN  0       128                     0.0.0.0:10050         0.0.0.0:*      uid:114 ino:169446 sk:15 <-> skmem:(r0,rb131072,t0,tb16384,f0,w0,o0,bl0,d0) cubic cwnd:10
tcp LISTEN  0       5                       0.0.0.0:4330          0.0.0.0:*      uid:997 ino:1467772 sk:27 <-> skmem:(r0,rb131072,t0,tb16384,f0,w0,o0,bl0,d0) cubic cwnd:10
tcp LISTEN  0       511                   127.0.0.1:6379          0.0.0.0:*      uid:116 ino:174556 sk:17 <-> skmem:(r0,rb131072,t0,tb16384,f0,w0,o0,bl0,d0) cubic cwnd:10
tcp LISTEN  0       1024                  127.0.0.1:11211         0.0.0.0:*      uid:112 ino:165905 sk:18 <-> skmem:(r0,rb131072,t0,tb16384,f0,w0,o0,bl0,d0) cubic cwnd:10
tcp LISTEN  0       32                192.168.123.1:53            0.0.0.0:*      ino:187422 sk:19 <-> skmem:(r0,rb131072,t0,tb16384,f0,w0,o0,bl0,d0) cubic cwnd:10
tcp LISTEN  0       4096              127.0.0.53%lo:53            0.0.0.0:*      uid:101 ino:181926 sk:1a <-> skmem:(r0,rb131072,t0,tb16384,f0,w0,o0,bl0,d0) cubic cwnd:10
tcp LISTEN  0       256                   127.0.0.1:53            0.0.0.0:*      ino:179212 sk:1b <-> skmem:(r0,rb131072,t0,tb16384,f0,w0,o0,bl0,d0) cubic cwnd:10
